iter	Passed	Remaining
0	13	13691
1	28	14054
2	42	14003
3	55	13887
4	69	13762
5	82	13704
6	97	13846
7	116	14458
8	132	14630
9	153	15154
10	171	15423
11	194	16045
12	217	16477
13	237	16718
14	255	16796
15	274	16899
16	298	17275
17	373	20386
18	408	21085
19	432	21214
20	523	24395
21	588	26169
22	619	26335
23	642	26109
24	660	25764
25	678	25422
26	694	25036
27	711	24689
28	725	24298
29	739	23915
30	755	23624
31	771	23325
32	789	23120
33	806	22920
34	820	22617
35	837	22437
36	852	22198
37	867	21963
38	884	21787
39	903	21672
40	920	21541
41	929	21209
42	947	21085
43	961	20885
44	977	20740
45	992	20580
46	1009	20465
47	1025	20335
48	1042	20225
49	1061	20161
50	1081	20124
51	1099	20043
52	1117	19960
53	1123	19673
54	1146	19691
55	1160	19567
56	1173	19418
57	1187	19284
58	1200	19144
59	1215	19039
60	1222	18816
61	1236	18705
62	1248	18575
63	1263	18473
64	1278	18386
65	1293	18300
66	1309	18237
67	1326	18184
68	1340	18092
69	1363	18116
70	1445	18917
71	1464	18873
72	1489	18915
73	1508	18871
74	1526	18828
75	1541	18738
76	1555	18645
77	1569	18556
78	1585	18479
79	1599	18398
80	1614	18316
81	1629	18245
82	1644	18163
83	1657	18071
84	1661	17887
85	1676	17819
86	1690	17739
87	1704	17669
88	1720	17609
89	1736	17554
90	1751	17491
91	1765	17421
92	1781	17369
93	1801	17359
94	1817	17316
95	1839	17319
96	1859	17309
97	1865	17173
98	1886	17171
99	1908	17175
100	1941	17284
101	1957	17236
102	1985	17294
103	2007	17295
104	2029	17298
105	2052	17312
106	2071	17291
107	2096	17312
108	2107	17228
109	2129	17227
110	2150	17222
111	2169	17198
112	2182	17128
113	2201	17106
114	2220	17085
115	2236	17045
116	2254	17016
117	2273	16997
118	2289	16947
119	2304	16900
120	2324	16888
121	2343	16868
122	2353	16780
123	2375	16782
124	2385	16700
125	2398	16634
126	2418	16624
127	2546	17349
128	2593	17510
129	2616	17511
130	2639	17511
131	2656	17468
132	2669	17404
133	2684	17351
134	2699	17298
135	2715	17249
136	2730	17200
137	2745	17149
138	2760	17101
139	2774	17045
