iter	Logloss
0	0.6553152548
1	0.6075877332
2	0.5737145
3	0.5459162978
4	0.5119203198
5	0.4863805491
6	0.4699385267
7	0.4505865017
8	0.4326755744
9	0.4164991097
10	0.4067017148
11	0.3972125127
12	0.3862620017
13	0.3712243668
14	0.3642013739
15	0.3531157139
16	0.345846239
17	0.3406962046
18	0.3315495896
19	0.3253054664
20	0.321802752
21	0.3164169901
22	0.3097598594
23	0.3070173991
24	0.3020858652
25	0.2998036292
26	0.2973862218
27	0.295644299
28	0.293774101
29	0.2912419563
30	0.2887740889
31	0.2885472174
32	0.2856689637
33	0.282419348
34	0.2801349103
35	0.2762065938
36	0.2739730222
37	0.2727826452
38	0.2703238766
39	0.2685676813
40	0.2671811492
41	0.2662326018
42	0.2642680405
43	0.2628147462
44	0.2606268314
45	0.258613614
46	0.2569246409
47	0.2558244693
48	0.2549103847
49	0.2540130764
50	0.2528063386
51	0.2517674202
52	0.2507352663
53	0.2504649347
54	0.248495358
55	0.247008335
56	0.2461455348
57	0.2457974739
58	0.244358502
59	0.2433858088
60	0.2430304287
61	0.2424051036
62	0.2413354495
63	0.24035877
64	0.238882118
65	0.2384395471
66	0.2378762962
67	0.2370363697
68	0.2369031124
69	0.2362867075
70	0.235452809
71	0.2347940281
72	0.2347912939
73	0.2340733582
74	0.233050757
75	0.2327463707
76	0.2323877911
77	0.2312026866
78	0.2301263545
79	0.229503223
80	0.2287845382
81	0.2283669187
82	0.228128084
83	0.2279380907
84	0.227156859
85	0.2267550065
86	0.2258524222
87	0.2254783192
88	0.2252866959
89	0.2247052728
90	0.2244704015
91	0.2238112676
92	0.2235444111
93	0.2232509831
94	0.2228417676
95	0.2226870021
96	0.2219196839
97	0.2213249458
98	0.2209773364
99	0.2202780813
100	0.2196112431
101	0.2193967981
102	0.2191315891
103	0.2184855779
104	0.2184846398
105	0.2182260906
106	0.2180626272
107	0.2177454168
108	0.2173779692
109	0.2169963196
110	0.2167435941
111	0.2164929132
112	0.2157431145
113	0.2152903983
114	0.2150445527
115	0.2148809063
116	0.2147701134
117	0.2144743854
118	0.2141765154
119	0.2135255084
120	0.213524464
121	0.2129137512
122	0.2127986233
123	0.2125056862
124	0.2125041785
125	0.21213429
126	0.2121283701
127	0.2119122742
128	0.2117673104
129	0.2115333545
130	0.2111559808
131	0.2106298286
132	0.2103549813
133	0.2098809554
134	0.2095283775
135	0.2092663107
136	0.2092420958
137	0.2090805319
138	0.2085479481
139	0.2085477308
140	0.2083548878
141	0.207868206
142	0.2078184894
143	0.2072732562
144	0.2070562549
145	0.2068055719
146	0.2064675398
147	0.206077597
148	0.2057456608
149	0.2054989533
150	0.2054027234
151	0.2053822554
152	0.2053537157
153	0.2047561312
154	0.2047030478
155	0.2044005984
156	0.2042573009
157	0.2038355574
158	0.2034667533
159	0.2032068052
160	0.2029378046
161	0.2028498728
162	0.2023695869
163	0.202033143
164	0.2018896894
165	0.2018691739
166	0.2017738436
