iter	Passed	Remaining
0	24	24658
1	42	21163
2	55	18330
3	64	15963
4	73	14595
5	82	13605
6	86	12332
7	94	11694
8	97	10763
9	104	10380
10	111	10016
11	116	9629
12	119	9104
13	125	8836
14	130	8554
15	135	8309
16	141	8190
17	147	8040
18	154	7954
19	161	7917
20	167	7795
21	173	7698
22	179	7616
23	183	7478
24	191	7463
25	196	7364
26	202	7289
27	207	7218
28	212	7124
29	217	7042
30	226	7069
31	231	6995
32	237	6971
33	242	6884
34	246	6794
35	251	6747
36	259	6755
37	265	6714
38	274	6755
39	279	6714
40	285	6680
41	291	6650
42	297	6613
43	304	6614
44	309	6573
45	314	6523
46	321	6515
47	325	6458
48	333	6477
49	339	6442
50	345	6427
51	353	6445
52	358	6401
53	365	6400
54	371	6386
55	374	6312
56	382	6320
57	386	6283
58	392	6259
59	398	6244
60	403	6209
61	408	6185
62	413	6142
63	417	6106
64	423	6088
65	430	6090
66	436	6076
67	441	6050
68	448	6048
69	454	6038
70	462	6045
71	469	6055
72	477	6059
73	483	6048
74	489	6039
75	497	6052
76	502	6027
77	509	6027
78	513	5989
79	521	5996
80	529	6010
81	535	5991
82	541	5987
83	547	5975
84	551	5934
85	560	5953
86	565	5935
87	570	5914
88	574	5885
89	578	5849
90	584	5842
91	591	5839
92	597	5823
93	604	5828
94	610	5819
95	617	5815
96	624	5810
97	631	5807
98	637	5804
99	641	5773
100	647	5767
101	656	5777
102	661	5765
103	669	5769
104	676	5764
105	681	5746
106	685	5724
107	692	5718
108	701	5734
109	710	5749
110	716	5738
111	723	5736
112	730	5732
113	737	5733
114	743	5724
115	748	5706
116	756	5707
117	770	5757
118	778	5763
119	782	5741
120	787	5721
121	791	5699
122	797	5683
123	804	5685
124	813	5693
125	820	5688
126	825	5676
127	832	5670
128	839	5665
129	845	5656
130	851	5645
131	860	5656
132	865	5641
133	872	5638
134	876	5617
135	882	5605
136	887	5591
137	893	5581
138	896	5555
139	901	5538
140	908	5532
141	914	5524
142	919	5511
143	926	5510
144	940	5543
145	947	5542
146	954	5540
147	959	5521
148	963	5504
149	968	5488
150	972	5467
151	977	5453
152	982	5436
153	987	5425
154	992	5411
155	997	5397
156	1004	5393
157	1010	5386
158	1016	5379
159	1022	5367
160	1026	5350
161	1034	5350
162	1037	5326
163	1041	5307
164	1045	5291
165	1053	5290
166	1058	5278
167	1065	5274
168	1071	5268
169	1077	5260
170	1084	5256
171	1089	5245
172	1096	5242
173	1102	5234
174	1108	5225
175	1116	5227
176	1121	5214
177	1127	5206
178	1132	5192
179	1137	5180
180	1141	5167
181	1146	5154
182	1149	5133
183	1154	5119
184	1160	5111
185	1163	5093
186	1168	5081
187	1173	5070
188	1180	5063
189	1186	5057
190	1192	5051
191	1195	5032
192	1201	5024
193	1207	5014
194	1213	5010
195	1220	5004
196	1228	5007
197	1233	4996
198	1242	4999
199	1251	5005
200	1260	5009
201	1266	5004
202	1273	5001
203	1280	4994
204	1286	4990
205	1293	4984
206	1299	4978
207	1305	4969
208	1310	4958
209	1315	4949
210	1322	4944
211	1326	4932
212	1331	4921
213	1336	4907
214	1338	4888
215	1344	4878
216	1351	4874
217	1356	4866
218	1362	4858
219	1364	4838
220	1371	4832
221	1376	4824
222	1379	4807
223	1385	4800
224	1390	4789
225	1394	4776
226	1399	4766
227	1403	4750
228	1408	4742
229	1412	4727
230	1418	4722
231	1423	4712
232	1429	4705
233	1434	4694
234	1440	4688
235	1442	4670
236	1448	4661
237	1454	4655
238	1462	4658
239	1471	4659
240	1478	4656
241	1483	4647
242	1488	4637
243	1495	4632
244	1500	4623
245	1506	4616
246	1512	4610
247	1519	4607
248	1525	4602
249	1531	4595
250	1539	4594
251	1547	4592
252	1552	4584
253	1560	4583
254	1568	4581
255	1576	4581
256	1584	4579
257	1591	4577
258	1598	4572
259	1607	4573
260	1615	4573
261	1623	4573
262	1631	4572
263	1640	4574
264	1649	4574
265	1659	4578
266	1668	4579
267	1675	4576
268	1682	4572
269	1690	4571
270	1696	4564
271	1706	4566
272	1713	4563
273	1721	4560
274	1728	4556
275	1736	4555
276	1741	4545
277	1749	4544
278	1755	4537
279	1762	4533
280	1769	4527
281	1775	4521
282	1782	4516
283	1788	4509
284	1795	4504
285	1801	4497
286	1807	4491
287	1816	4491
288	1822	4483
289	1829	4480
290	1835	4472
291	1842	4468
292	1850	4464
293	1858	4463
294	1865	4457
295	1873	4456
296	1880	4451
297	1890	4453
298	2232	5235
299	2279	5318
300	2301	5344
301	2322	5367
302	2335	5372
303	2342	5364
304	2348	5351
305	2355	5342
306	2361	5329
307	2367	5318
308	2375	5311
309	2382	5303
310	2390	5296
311	2400	5293
312	2407	5284
313	2418	5282
314	2425	5274
315	2434	5270
316	2442	5262
317	2450	5255
318	2457	5246
319	2466	5241
320	2473	5233
321	2482	5227
322	2488	5216
323	2495	5206
324	2501	5195
325	2507	5184
326	2512	5170
327	2519	5160
328	2525	5151
329	2531	5140
330	2538	5129
331	2544	5119
332	2549	5107
333	2556	5098
334	2563	5088
335	2570	5079
336	2579	5074
337	2585	5063
338	2590	5051
339	2598	5043
340	2606	5036
341	2613	5028
342	2621	5021
343	2627	5011
344	2635	5004
345	2643	4996
