iter	Passed	Remaining
0	76	76779
1	82	41331
2	90	30151
3	104	25909
4	111	22168
5	118	19612
6	125	17754
7	130	16206
8	136	15063
9	140	13947
10	144	12950
11	146	12086
12	151	11535
13	155	10982
14	160	10524
15	166	10241
16	169	9807
17	177	9660
18	185	9585
19	189	9288
20	195	9121
21	200	8905
22	204	8668
23	208	8466
24	211	8243
25	215	8087
26	220	7929
27	222	7726
28	226	7593
29	229	7435
30	233	7283
31	236	7147
32	241	7073
33	244	6945
34	250	6896
35	254	6824
36	261	6801
37	266	6748
38	271	6687
39	274	6577
40	280	6559
41	289	6607
42	295	6581
43	302	6569
44	309	6562
45	313	6507
46	318	6455
47	323	6420
48	328	6368
49	334	6364
50	338	6300
51	342	6244
52	346	6183
53	351	6150
54	355	6110
55	359	6063
56	366	6056
57	369	5998
58	375	5995
59	380	5955
60	387	5962
61	392	5935
62	395	5878
63	398	5826
64	403	5806
65	408	5787
66	414	5774
67	419	5749
68	424	5730
69	430	5718
70	436	5709
71	440	5683
72	446	5671
73	451	5652
74	454	5603
75	457	5558
76	460	5518
77	465	5505
78	469	5471
79	473	5443
80	477	5412
81	480	5379
82	482	5330
83	485	5298
84	491	5293
85	497	5289
86	504	5290
87	509	5280
88	512	5245
89	518	5241
90	522	5223
91	527	5207
92	532	5190
93	537	5176
94	540	5150
95	545	5133
96	552	5141
97	556	5125
98	560	5104
99	566	5102
100	570	5077
101	572	5038
102	576	5017
103	579	4990
104	583	4970
105	586	4946
106	589	4919
107	592	4895
108	596	4871
109	599	4851
110	603	4830
111	606	4811
112	609	4787
113	612	4760
114	614	4726
115	617	4706
116	621	4687
117	624	4665
118	629	4658
119	632	4639
120	635	4617
121	638	4596
122	642	4579
123	645	4561
124	648	4540
125	651	4520
126	654	4500
127	659	4490
128	661	4468
129	666	4463
130	670	4444
131	673	4431
132	675	4405
133	679	4389
134	683	4380
135	687	4365
136	691	4355
137	695	4344
138	699	4333
139	703	4323
140	707	4308
141	711	4298
142	715	4288
143	719	4279
144	723	4266
145	728	4259
146	733	4255
147	737	4243
148	741	4233
149	746	4227
150	749	4213
151	753	4205
152	757	4192
153	760	4177
154	767	4185
155	775	4193
156	779	4187
157	785	4183
158	789	4175
159	793	4167
160	797	4156
161	800	4141
162	805	4134
163	808	4119
164	813	4115
165	818	4111
166	822	4101
167	827	4096
168	831	4091
169	837	4086
170	842	4084
171	846	4075
172	851	4068
173	855	4062
174	860	4055
175	864	4049
176	869	4044
177	875	4042
178	880	4038
179	885	4033
180	891	4033
181	896	4027
182	910	4065
183	915	4060
184	921	4057
185	927	4058
186	932	4054
187	937	4047
188	941	4039
189	944	4026
190	947	4011
191	951	4002
192	954	3990
193	957	3978
194	960	3964
195	963	3952
196	967	3944
197	970	3932
198	974	3920
199	977	3910
200	982	3905
201	987	3899
202	991	3894
203	996	3888
204	1001	3882
205	1004	3873
206	1008	3863
207	1015	3866
208	1019	3856
209	1021	3843
210	1025	3832
211	1029	3826
212	1032	3814
213	1035	3801
214	1038	3792
215	1041	3779
216	1045	3772
217	1049	3763
218	1051	3750
219	1054	3740
220	1057	3728
221	1063	3728
222	1067	3718
223	1070	3707
224	1074	3700
225	1077	3690
226	1080	3679
227	1083	3670
228	1086	3658
229	1090	3649
230	1093	3639
231	1096	3629
232	1099	3619
233	1101	3606
234	1106	3603
235	1109	3593
236	1113	3585
237	1116	3575
238	1120	3568
239	1123	3559
240	1126	3548
241	1129	3539
242	1131	3524
243	1135	3518
244	1138	3509
245	1141	3499
246	1144	3488
247	1146	3475
248	1150	3470
249	1157	3471
250	1159	3461
251	1162	3451
252	1166	3443
253	1167	3430
254	1171	3422
255	1175	3416
256	1180	3413
257	1184	3407
258	1187	3397
259	1191	3390
260	1195	3383
261	1198	3374
262	1201	3366
263	1204	3356
264	1205	3344
265	1208	3335
266	1212	3327
267	1215	3318
268	1217	3309
269	1220	3300
270	1223	3291
271	1226	3282
272	1230	3276
273	1233	3267
274	1236	3259
275	1239	3251
276	1244	3248
277	1250	3247
278	1255	3244
279	1259	3238
280	1262	3230
281	1265	3223
282	1268	3214
283	1272	3209
284	1275	3200
285	1280	3196
286	1284	3190
287	1288	3185
288	1293	3181
289	1297	3175
290	1301	3171
291	1306	3167
292	1311	3164
293	1316	3161
294	1321	3157
295	1326	3154
296	1331	3151
297	1335	3147
298	1340	3142
299	1345	3138
300	1349	3134
301	1354	3130
302	1359	3127
303	1364	3124
304	1369	3121
305	1374	3116
306	1379	3113
307	1383	3107
308	1387	3103
309	1392	3099
310	1398	3098
311	1403	3094
312	1408	3092
313	1414	3089
314	1419	3087
315	1424	3083
316	1429	3080
317	1434	3077
318	1439	3072
319	1444	3070
320	1450	3068
321	1455	3064
322	1459	3059
323	1467	3060
324	1473	3059
325	1476	3053
326	1481	3049
327	1486	3045
328	1490	3039
329	1495	3035
330	1499	3030
331	1504	3027
332	1509	3023
333	1514	3020
334	1520	3017
335	1524	3013
336	1530	3010
337	1536	3008
338	1541	3005
339	1546	3001
340	1551	2999
341	1557	2995
342	1562	2992
343	1568	2990
344	1572	2986
345	1576	2979
346	1580	2974
347	1584	2968
348	1587	2960
349	1590	2953
350	1593	2945
351	1596	2939
352	1600	2934
353	1604	2927
354	1607	2920
355	1611	2914
356	1614	2908
357	1617	2901
358	1620	2894
359	1623	2886
360	1628	2881
361	1633	2878
362	1637	2873
363	1641	2868
364	1645	2863
365	1650	2859
366	1655	2856
367	1660	2851
368	1664	2846
369	1668	2840
370	1672	2835
371	1676	2830
372	1680	2825
373	1685	2820
374	1690	2818
375	1694	2812
376	1698	2806
377	1703	2802
378	1707	2797
379	1711	2792
380	1715	2786
381	1721	2785
382	1726	2781
383	1731	2777
384	1737	2775
385	1742	2771
386	1747	2767
387	1752	2763
388	1756	2758
389	1760	2753
390	1765	2749
391	1768	2742
392	1773	2738
393	1778	2734
394	1783	2731
395	1787	2726
396	1791	2720
397	1797	2718
398	1802	2715
399	1807	2711
400	1813	2709
